Designator,Footprint,Quantity,Value,LCSC Part #,Link
"R24, R29",201,2,100K,,https://www.lcsc.com/product-detail/C60491.html?s_z=n_q_t_100K&spm=wm.fly.bg.0.xh___wm.ssy.tc.0.tz&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFZbV1NeRlhdUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXR1NbSQwSGg0%3D
"R25, R27, R31",201,3,100,,https://www.lcsc.com/product-detail/C304499.html?s_z=n_q_RC-01W1000FT&spm=wm.fly.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFdXVFdRRlJfVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlhXSQwSGg0%3D
R3,201,1,.383k,,https://www.lcsc.com/product-detail/C166212.html?s_z=n_q_RTT013833FTH&spm=wm.fly.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFdXVFZRQldaUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlhXSQwSGg0%3D
R4,201,1,5.23K,,https://www.lcsc.com/product-detail/C423492.html?s_z=n_q_RES%25205.23k%25CE%25A9%2520%25C2%25B11%2525%252050mW%25200201&spm=wm.fly.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFZbVVBQRllcUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRFJcUlBQWQkaCgg%3D
R5,201,1,30.1K,,https://www.lcsc.com/product-detail/C273278.html?s_z=n_q_RC0201FR-0730K1L&spm=wm.fly.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFdXVFZfRFZYVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRldYVVVUWQkaCgg%3D
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F722RETx,,https://www.lcsc.com/product-detail/C118207.html?s_z=n_q_STM32F722RET6&spm=wm.fly.bg.0.cbh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFdXVFJeQFNXUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlRbSQwSGg0%3D
U2,VFQFPN-24_L4.0-W4.0-P0.50-BL-EP2.8,1,BQ25883RGER,C544362,https://www.lcsc.com/product-detail/C544362.html?s_z=n_q_BQ25883RGER&spm=wm.fly.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFdXVFdfT1JcVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlhXSQwSGg0%3D
U3,LGA-14_L3.0-W2.5-P0.50-TL,1,ICM-45686,C22459454,https://www.lcsc.com/product-detail/C22459454.html?s_z=n_q_ICM-45686&spm=wm.fly.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFdXVFBURlZcVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXQVBYSQwSGg0%3D
U4,LGA-10_L2.0-W2.0-P0.50-TL_BMP580,1,BMP580,C22391138,https://www.lcsc.com/product-detail/C22391138.html?s_z=n_q_BMP580&spm=wm.fly.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFdXVFBfQFleVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRVRfSQwSGg0%3D
U5,VQFN-HR-15_L3.0-W2.5-P0.50-BL_TPS63070RNMR,1,TPS63070RNMR,C109322,https://www.lcsc.com/product-detail/C109322.html?s_z=n_q_TPS63070RNMR&spm=wm.fly.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFdXVFFXQFdfUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHkteTlVADxALGw%3D%3D
U6,SOT-23-6,1,LMR51430,,https://www.lcsc.com/product-detail/C5219261.html?s_z=n_q_LMR51430YFDDCR&spm=wm.fly.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFdXVFFSR1NeXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXR1NXSQwSGg0%3D
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),C2765186,https://www.lcsc.com/product-detail/C2765186.html?s_z=n_q_TYPE-C%252016PIN%25202MD%28073%29&spm=wm.fly.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFdXVFFTQ1RWVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXR1NXSQwSGg0%3D
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,X322525MOB4SI,C9006,https://www.lcsc.com/product-detail/C9006.html?s_z=n_q_X322525MOB4SI&spm=wm.fly.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFdXVFFRT1BWVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHkteQ1NADxALGw%3D%3D
X2,FC-135R_L3.2-W1.5,1,Q13FC1350000400,C32346,https://www.lcsc.com/product-detail/C32346.html?s_z=n_q_Q13FC13500004&spm=wm.fly.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFdXVFJUQFlbXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlRbSQwSGg0%3D
